Brand,Name,Price,Rating,Product URL,Image URL
No brand,men mid rise cotton flat front formal trouser,₹ 599,5.0,https://www.limeroad.com//light-grey-poly-viscose-v-mart-p21160617?imgIdx=3&src_id=navdeskMen__1?page=1,//img3.junaroad.com/uiproducts/21160617/zoom_0-1716374116.jpg
No brand,men mid rise cotton flat front formal trouser,₹ 599,5.0,https://www.limeroad.com//navy-blue-poly-viscose-v-mart-p21151325?imgIdx=3&src_id=navdeskMen__1?page=1,//img3.junaroad.com/uiproducts/21151325/zoom_0-1716374116.jpg
No brand,men printed formal shirt,₹ 599,4.0,https://www.limeroad.com//beige-satin-v-mart-p21151769?imgIdx=3&src_id=navdeskMen__1?page=1,//img3.junaroad.com/uiproducts/21151769/zoom_0-1716374116.jpg
No brand,men printed formal shirt,₹ 699,3.5,https://www.limeroad.com//light-blue-satin-v-mart-p21194989?imgIdx=3&src_id=navdeskMen__1?page=1,//img3.junaroad.com/uiproducts/21194989/zoom_0-1716374116.jpg
No brand,men mid rise solid flat front casual trouser,₹ 1199,No rating,https://www.limeroad.com//grey-4-way-stretch-v-mart-p21222430?imgIdx=3&src_id=navdeskMen__1?page=1,//img3.junaroad.com/uiproducts/21222430/zoom_0-1716399887.jpg
No brand,men mid rise solid flat front casual trouser,₹ 1199,No rating,https://www.limeroad.com//black-4-way-stretch-v-mart-p21222425?imgIdx=3&src_id=navdeskMen__1?page=1,//img3.junaroad.com/uiproducts/21222425/zoom_0-1716399887.jpg
No brand,men mid rise solid flat front casual trouser,₹ 1199,No rating,https://www.limeroad.com//light-grey-4-way-stretch-v-mart-p21222429?imgIdx=3&src_id=navdeskMen__1?page=1,//img3.junaroad.com/uiproducts/21222429/zoom_0-1716399887.jpg
No brand,men mid rise solid flat front casual trouser,₹ 1199,No rating,https://www.limeroad.com//navy-blue-4-way-stretch-v-mart-p21222424?imgIdx=3&src_id=navdeskMen__1?page=1,//img3.junaroad.com/uiproducts/21222424/zoom_0-1716399887.jpg
No brand,green striped printed casual polo t-shirt,₹ 639,4.0,https://www.limeroad.com//green-knitted-v-mart-p20668909?imgIdx=3&src_id=navdeskMen__1?page=2,//img3.junaroad.com/uiproducts/20668909/zoom_0-1708614388.jpg
No brand,men regular fit check shirt,₹ 999,5.0,https://www.limeroad.com//red-cotton-v-mart-p20562437?imgIdx=3&src_id=navdeskMen__1?page=2,//img3.junaroad.com/uiproducts/20562437/zoom_0-1708443173.jpg
